epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.552,0.9934,2.70509,1.05204,0.79551,0.80482,0.86877,0.68699,0.77769,1.03814,0.94461,0.000369376,0.000369376,0.000369376
2,183.119,0.92,1.46123,1.02034,0.85593,0.82365,0.91505,0.72136,0.78901,0.84555,0.97177,0.000730556,0.000730556,0.000730556
3,254.479,0.9056,1.08787,1.01519,0.87846,0.80647,0.91246,0.71594,0.80856,0.77317,0.96785,0.00108257,0.00108257,0.00108257
4,325.177,0.88679,0.93434,1.00632,0.88534,0.86749,0.94345,0.74406,0.78543,0.72549,0.95796,0.00106975,0.00106975,0.00106975
5,395.897,0.86877,0.8632,0.99869,0.86642,0.87972,0.93869,0.74903,0.75355,0.68195,0.95034,0.00105601,0.00105601,0.00105601
6,466.98,0.84171,0.79987,0.98801,0.89636,0.90431,0.95376,0.76589,0.74795,0.60169,0.94779,0.00104226,0.00104226,0.00104226
7,537.815,0.81325,0.74552,0.96842,0.95208,0.93115,0.98114,0.79454,0.71427,0.52341,0.92442,0.00102851,0.00102851,0.00102851
8,608.919,0.79864,0.71258,0.96017,0.9495,0.9129,0.97538,0.79885,0.69969,0.51559,0.92265,0.00101476,0.00101476,0.00101476
9,679.762,0.78749,0.69166,0.957,0.95497,0.94367,0.98192,0.80924,0.67091,0.45711,0.8947,0.00100101,0.00100101,0.00100101
10,750.506,0.78254,0.66016,0.95343,0.95548,0.94053,0.98141,0.79652,0.70583,0.47204,0.9095,0.000987262,0.000987262,0.000987262
11,821.138,0.77095,0.64903,0.9483,0.95284,0.9595,0.98754,0.82429,0.66215,0.42404,0.88967,0.000973514,0.000973514,0.000973514
12,892.024,0.76471,0.63324,0.94376,0.96466,0.95578,0.98633,0.82109,0.66188,0.41846,0.89312,0.000959765,0.000959765,0.000959765
13,962.744,0.75901,0.61526,0.93579,0.96667,0.95603,0.99004,0.82209,0.65017,0.40546,0.8851,0.000946016,0.000946016,0.000946016
14,1033.47,0.75985,0.61369,0.93941,0.97309,0.9531,0.98891,0.82259,0.65154,0.39515,0.88552,0.000932268,0.000932268,0.000932268
15,1104.16,0.75469,0.60046,0.93876,0.97384,0.94873,0.98595,0.82037,0.64555,0.39909,0.88795,0.000918519,0.000918519,0.000918519
16,1174.79,0.75219,0.58752,0.93646,0.97397,0.9649,0.98984,0.82723,0.64512,0.38518,0.88527,0.000904771,0.000904771,0.000904771
17,1245.67,0.73786,0.57415,0.92706,0.978,0.9454,0.98892,0.82493,0.64175,0.38515,0.88773,0.000891022,0.000891022,0.000891022
18,1316.45,0.73708,0.57119,0.93303,0.96892,0.96144,0.99041,0.82298,0.64953,0.37824,0.88196,0.000877273,0.000877273,0.000877273
19,1387.52,0.73187,0.56485,0.92805,0.96396,0.95263,0.98599,0.82518,0.6292,0.40136,0.87779,0.000863525,0.000863525,0.000863525
20,1458.4,0.72272,0.54667,0.92491,0.98464,0.95722,0.98815,0.83495,0.62411,0.3519,0.87517,0.000849776,0.000849776,0.000849776
21,1529.44,0.71899,0.54815,0.92343,0.98414,0.96055,0.99129,0.83195,0.62567,0.3589,0.8762,0.000836027,0.000836027,0.000836027
22,1600.35,0.71979,0.53863,0.92272,0.97621,0.96511,0.99169,0.82917,0.64175,0.36148,0.88513,0.000822279,0.000822279,0.000822279
23,1671.18,0.71622,0.5295,0.91996,0.98627,0.96443,0.9925,0.83507,0.63756,0.35208,0.87857,0.00080853,0.00080853,0.00080853
24,1741.96,0.70886,0.51846,0.91818,0.98126,0.97428,0.99323,0.83692,0.61735,0.33641,0.87356,0.000794782,0.000794782,0.000794782
25,1813.07,0.70328,0.51554,0.91662,0.98452,0.95839,0.99228,0.83616,0.61949,0.34275,0.87784,0.000781033,0.000781033,0.000781033
26,1884.11,0.70923,0.51563,0.92096,0.98322,0.97402,0.99235,0.83847,0.62315,0.33995,0.87252,0.000767284,0.000767284,0.000767284
27,1955.26,0.70802,0.51859,0.91624,0.96482,0.96905,0.98981,0.83507,0.61551,0.35357,0.87135,0.000753536,0.000753536,0.000753536
28,2026.32,0.69649,0.50332,0.91127,0.97665,0.9736,0.99199,0.84247,0.60946,0.33471,0.87012,0.000739787,0.000739787,0.000739787
29,2097.35,0.70201,0.50262,0.91274,0.98245,0.96563,0.99083,0.84052,0.6096,0.33566,0.87144,0.000726038,0.000726038,0.000726038
