epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.107,0.9934,2.70509,1.05204,0.79551,0.80482,0.86877,0.68699,0.77769,1.03814,0.94461,0.000369376,0.000369376,0.000369376
2,182.566,0.92488,1.46652,1.02179,0.82819,0.83249,0.89281,0.70332,0.8018,0.88022,0.97484,0.000725063,0.000725063,0.000725063
3,253.834,0.90778,1.08676,1.01962,0.90039,0.83049,0.92306,0.71351,0.8012,0.84247,0.97313,0.00106609,0.00106609,0.00106609
4,324.369,0.87911,0.94523,1.00465,0.91442,0.87005,0.94276,0.74309,0.78115,0.75279,0.95181,0.00104501,0.00104501,0.00104501
5,394.846,0.8635,0.85368,0.998,0.92361,0.8841,0.95714,0.75316,0.77825,0.65257,0.97105,0.00102301,0.00102301,0.00102301
6,465.315,0.83885,0.79404,0.98865,0.93403,0.9193,0.97305,0.78707,0.71059,0.54095,0.92125,0.00100101,0.00100101,0.00100101
7,536.14,0.81318,0.75144,0.97385,0.94934,0.92461,0.9791,0.79773,0.69797,0.50649,0.93053,0.000979013,0.000979013,0.000979013
8,606.787,0.80347,0.72024,0.96983,0.94975,0.92302,0.97746,0.79689,0.7003,0.51856,0.92714,0.000957015,0.000957015,0.000957015
9,677.693,0.79022,0.68665,0.96121,0.95197,0.93342,0.98236,0.80135,0.69729,0.48001,0.91173,0.000935018,0.000935018,0.000935018
10,748.961,0.7728,0.6538,0.95353,0.95186,0.96021,0.9867,0.80368,0.68893,0.46338,0.90733,0.00091302,0.00091302,0.00091302
11,819.89,0.76671,0.63033,0.94773,0.95845,0.94268,0.98368,0.82057,0.6651,0.43472,0.89755,0.000891022,0.000891022,0.000891022
12,890.739,0.75593,0.62323,0.94092,0.96564,0.94966,0.98623,0.8274,0.64445,0.41895,0.88734,0.000869024,0.000869024,0.000869024
13,961.646,0.75412,0.60026,0.93806,0.96229,0.95927,0.98734,0.82487,0.64642,0.40923,0.89334,0.000847026,0.000847026,0.000847026
14,1032.65,0.74865,0.60251,0.93845,0.97294,0.95075,0.98956,0.82503,0.64407,0.39852,0.88667,0.000825029,0.000825029,0.000825029
15,1103.55,0.74739,0.5864,0.93324,0.97028,0.95219,0.98912,0.82516,0.64191,0.39341,0.88967,0.000803031,0.000803031,0.000803031
